exchange,pearson_r,p_val,days
binance,0.9873382009541679,0.0,409
tokocrypto,0.9798735426838606,2.439935600008199e-288,411
cryptocom,0.97376727076118,6.704391454269279e-307,476
coinex,0.9658858067712494,2.869223931022087e-280,476
btcturk,0.9576307363449974,2.1567617165177844e-258,476
coinbase,0.952520925652656,6.124434595518777e-247,476
bitrue,0.9473437835025036,1.4746202096298723e-236,476
bitfinex,0.939427542135798,1.4746609680058564e-222,476
latoken,0.9331851707508181,6.686001064663851e-212,474
bybit,0.9268109995002822,9.488775134326713e-204,476
kraken,0.9182009227589523,9.289385584252016e-193,476
digifinex,0.9177998189705676,2.8192039110043944e-192,476
bitso,0.9090815774442258,2.295775082777079e-182,476
poloniex,0.9032826322911359,2.597945104599184e-176,476
coinsph,0.8956553967975986,6.573854567284596e-169,476
bitget,0.8911615885420111,8.235625474298523e-165,476
okx,0.8813893243079512,3.658732022756664e-156,475
probit,0.8692641116635049,3.038241029558191e-138,447
whitebit,0.8684608993841422,1.522263373427282e-146,476
upbit,0.8669800828575303,1.7941906599484454e-145,476
bitstamp,0.8641581694024751,1.8208703936217366e-143,476
phemex,0.8517759467460676,4.18480194711805e-112,394
htx,0.8423083522219115,8.942484341441111e-97,355
gate,0.8411633268079334,1.2324787938127775e-128,476
oceanex,0.8276647297976705,3.973148822245321e-100,393
indodax,0.8220534486529809,1.2338176711286392e-111,450
bigone,0.8190151194506329,1.961157642545975e-116,476
coincatch,0.7724243605052771,4.744621474620476e-83,413
bitcoincom,0.735034305890689,7.39117091535905e-61,351
fmfwio,0.6698244218279449,2.8332235876644704e-63,476
hitbtc,0.6697725135947935,2.919409038685186e-63,476
bequant,0.6697645362144815,2.932883092142288e-63,476
xt,0.6568231857207554,4.279383356405883e-60,476
luno,0.6455703527534292,1.812301165280875e-57,476
mexc,0.6311420835018997,2.940972591918408e-54,476
binanceus,0.5846440401374396,5.554622818160572e-45,476
deribit,0.5615291990151376,7.209289682870786e-34,391
gemini,0.5564517620980836,4.635965355017709e-28,328
bingx,0.5322450063661582,3.569332835381319e-36,476
exmo,0.5145503672742574,1.5606579791475955e-33,476
yobit,0.35367585015993785,1.7979316037051544e-15,476
bitmex,0.27562506587348257,5.4831808559257e-07,320
lbank,-0.19410884169205053,2.086462414218712e-05,474
