exchange,benford_deviation,total_trades_analyzed,days_with_data
xt,0.3811,37251915,476
mexc,0.3939,66669575,476
bitrue,0.5306,114563507,476
digifinex,0.5772,113538867,476
bingx,0.7278,65394120,476
coincatch,0.789,14833281,413
kraken,0.939,2760192,476
cryptocom,0.9865,95804551,476
binanceus,1.0526,1316371,476
lbank,1.182,51873620,474
gate,1.2922,100135596,476
exmo,1.3149,3210717,476
bitfinex,1.508,6587858,476
okx,1.7235,234203653,475
indodax,1.744,188351,449
coinex,1.7546,28131705,476
coinbase,1.7558,9530281,476
whitebit,1.7672,35300443,476
upbit,1.9595,485317,476
bitget,1.9847,81444652,476
bybit,2.1389,292574245,476
btcturk,2.1971,674825,476
bitso,2.5316,1025281,476
bitstamp,2.5458,337903,476
deribit,2.7369,1527838,391
phemex,2.8646,10402037,394
bigone,2.8998,14980267,476
binance,3.0135,307372553,409
yobit,3.2346,167556,476
hitbtc,3.3132,1722990,476
bequant,3.3149,1723196,476
fmfwio,3.3159,1722783,476
bitcoincom,3.6188,1549965,351
latoken,4.2038,17337477,474
luno,4.3027,317811,476
oceanex,4.3308,724298,393
probit,4.3737,5232128,447
gemini,4.6888,147801,328
htx,4.8295,130452140,355
coinsph,5.612,1563357,476
poloniex,5.9593,79251456,476
bitmex,7.7909,224655,320
tokocrypto,9.545,455940729,411
