exchange,t_stat,p_val,total_trades_analyzed,files_found
OCEANEX,2.5,0.02718530200573526,659540,393
PROBIT,2.19,0.05452037586395964,4499488,447
BITSTAMP,1.56,0.14558710417997472,327472,476
COINBASE,1.05,0.3164566219951669,9416241,476
CRYPTOCOM,1.01,0.32983586469575377,89861854,476
EXMO,0.98,0.3459744532517113,3200605,476
BYBIT,0.86,0.40670083180338845,288198035,476
BINANCE,0.79,0.4449204782496943,297642093,409
BTCTURK,0.78,0.45107465757464515,658396,476
BITMEX,0.77,0.45649246406532684,223289,320
COINSPH,0.69,0.5047891199663679,1563154,476
TOKOCRYPTO,0.69,0.4999003416400901,450533692,411
BITGET,0.67,0.518747838045841,79424914,476
KRAKEN,0.66,0.5220872407641362,2585144,476
DIGIFINEX,0.66,0.524722453256221,107812739,476
UPBIT,0.64,0.5330053071943153,481422,476
GATE,0.61,0.5500747255419397,91066008,476
OKX,0.6,0.5569067152134485,229977575,475
HTX,0.59,0.5634884854044093,129541062,355
BITCOINCOM,0.5,0.6256284859501282,1362193,351
BEQUANT,0.47,0.6452437443147059,1464743,476
HITBTC,0.47,0.647977506154999,1464517,476
YOBIT,0.46,0.6507681597120071,166636,476
FMFWIO,0.46,0.6490847621138203,1464318,476
BINANCEUS,0.43,0.6751996250846368,1293765,476
DERIBIT,0.4,0.6931153712818134,1490325,391
BITFINEX,0.31,0.7619672394260478,6033815,476
BITSO,0.23,0.8218177287802405,1019866,476
INDODAX,0.08,0.9358884497578712,186826,449
WHITEBIT,0.07,0.9456046852421284,28013254,476
BITRUE,0.07,0.9432030120326618,102430592,476
MEXC,0.06,0.9505511613538371,59937522,476
BIGONE,0.03,0.9755864116245246,12090958,476
LBANK,0.03,0.9797340245609776,42530940,327
COINCATCH,0.03,0.9741452143327918,14829729,413
LATOKEN,0.02,0.9871622840976866,15670904,474
XT,0.01,0.9919260998913824,32140223,476
COINEX,-0.0,0.9987860980717873,27708076,476
BINGX,-0.01,0.9958412557056467,63918787,476
POLONIEX,-0.08,0.9406662640843738,79221245,476
GEMINI,-0.33,0.745824647587491,145841,328
LUNO,-0.93,0.3783963815898084,316764,476
